45_CFR_Citation,HIPAA_Requirement_Title,HIPAA_Requirement_Summary,Implementation_Type,Safeguard_Family,Official_Section_URL,Official_Support_URL,HHS_Combined_Regulation_URL,HHS_Audit_Protocol_URL,Notes
45 C.F.R. § 164.308(a)(6)(i),Security Incident Procedures,Implement policies and procedures to address security incidents.,Standard,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/faq/2002/what-does-the-security-rule-require-a-covered-entity-to-do-to-comply/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for broad incident-handling policy controls.
45 C.F.R. § 164.308(a)(6)(ii),Security Incident Procedures — Response and Reporting,"Identify and respond to suspected or known security incidents, mitigate harmful effects to the extent practicable, and document incidents and outcomes.",Required implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/faq/2002/what-does-the-security-rule-require-a-covered-entity-to-do-to-comply/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for incident response / reporting / postmortem evidence.
45 C.F.R. § 164.308(a)(7)(ii)(A),Contingency Plan — Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of ePHI.,Required implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/ransomware-fact-sheet/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for backup procedures and exact-copy evidence.
45 C.F.R. § 164.308(a)(7)(ii)(B),Contingency Plan — Disaster Recovery Plan,Establish and implement procedures to restore any loss of data.,Required implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity/ransomware-fact-sheet/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for backup restoration and disaster-recovery evidence.
45 C.F.R. § 164.308(a)(7)(ii)(D),Contingency Plan — Applications and Data Criticality Analysis,Assess the relative criticality of specific applications and data in support of contingency planning.,Addressable implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used when the evidence distinguishes critical systems or data for backup / recovery planning.
45 C.F.R. § 164.308(a)(8),Evaluation,"Perform periodic technical and nontechnical evaluations, and repeat them in response to environmental or operational changes affecting the security of ePHI.",Required standard,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/ocr/privacy/hipaa/administrative/securityrule/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,"Used for evaluation, review, and testing best-fit mappings."
45 C.F.R. § 164.310(d)(2)(i),Device and Media Controls — Disposal,Implement policies and procedures to address the final disposition of ePHI and the hardware or electronic media on which it is stored.,Required implementation specification,Physical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.310,https://www.hhs.gov/hipaa/for-professionals/faq/575/what-does-hipaa-require-of-covered-entities-when-they-dispose-information/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for disposal and secure destruction evidence.
45 C.F.R. § 164.310(d)(2)(ii),Device and Media Controls — Media Re-use,Implement procedures for removing ePHI from electronic media before the media are made available for re-use.,Required implementation specification,Physical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.310,https://www.hhs.gov/hipaa/for-professionals/faq/575/what-does-hipaa-require-of-covered-entities-when-they-dispose-information/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for media sanitization and re-use controls.
45 C.F.R. § 164.310(d)(2)(iii),Device and Media Controls — Accountability,Maintain a record of the movements of hardware and electronic media and the person responsible for them.,Addressable implementation specification,Physical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.310,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for custody / chain-of-responsibility evidence.
45 C.F.R. § 164.312(a)(1),Access Control,Implement technical policies and procedures for electronic information systems that maintain ePHI to allow access only to persons or software programs with authorized access rights.,Standard,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for broad technical access-control controls.
45 C.F.R. § 164.312(a)(2)(i),Access Control — Unique User Identification,Assign a unique name and/or number for identifying and tracking user identity.,Required implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for named-account and unique-ID controls.
45 C.F.R. § 164.312(a)(2)(iv),Access Control — Encryption and Decryption,Implement a mechanism to encrypt and decrypt ePHI.,Addressable implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/faq/2001/is-the-use-of-encryption-mandatory-in-the-security-rule/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for encryption at rest and decryption capability controls.
45 C.F.R. § 164.312(d),Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed.,Required standard,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for MFA / authentication controls.
45 C.F.R. § 164.312(e)(2)(ii),Transmission Security — Encryption,Implement a mechanism to encrypt ePHI whenever deemed appropriate during electronic transmission.,Addressable implementation specification,Technical Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.312,https://www.hhs.gov/hipaa/for-professionals/faq/2001/is-the-use-of-encryption-mandatory-in-the-security-rule/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for TLS and encryption-in-transit controls.
45 C.F.R. § 164.316(a),Policies and Procedures,"Implement reasonable and appropriate policies and procedures to comply with the Security Rule standards, implementation specifications, and other requirements.",Standard,Policies / Documentation,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.316,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/securityrule/pprequirements.pdf,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for broad policy / procedure repository controls.
45 C.F.R. § 164.316(b)(1),Documentation,"Maintain written or electronic policies and procedures implemented to comply with the Security Rule and written or electronic records of required actions, activities, and assessments.",Standard,Policies / Documentation,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.316,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/securityrule/pprequirements.pdf,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for documentation-focused evidence and repositories.
45 C.F.R. § 164.316(b)(2)(iii),Documentation — Updates,Review documentation periodically and update it as needed in response to environmental or operational changes affecting the security of ePHI.,Required implementation specification,Policies / Documentation,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.316,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used when evidence focuses on keeping documentation current.
